student_id,exam_year,eapcet_score,predicted_rank,rank_band,data_confidence,source_type
1,2024,46.28,98876,Above 50000,medium,derived
2,2025,147.84,2,Top 100,medium,interpolated
3,2025,81.21,3251,Top 10000,high,exact
4,2024,106.09,1167,Top 10000,medium,derived
5,2023,143.07,38,Top 100,medium,derived
6,2025,136.78,22,Top 100,high,exact
7,2024,147.72,33,Top 100,medium,derived
8,2024,141.88,87,Top 100,medium,derived
9,2025,121.4,163,Top 1000,high,exact
10,2023,154.78,11,Top 100,medium,derived
11,2025,54.32,32723,Top 50000,high,exact
12,2023,100.6,641,Top 1000,medium,derived
13,2025,43.42,120253,Above 50000,high,exact
14,2024,108.74,1020,Top 10000,medium,derived
15,2021,67.98,10041,Top 50000,medium,derived
16,2022,57.93,25732,Top 50000,medium,derived
17,2022,62.74,16000,Top 50000,medium,derived
18,2021,128.7,155,Top 1000,medium,derived
19,2021,131.28,119,Top 1000,medium,derived
20,2025,50.29,54216,Above 50000,high,exact
21,2023,131.02,93,Top 100,medium,derived
22,2024,154.38,13,Top 100,medium,derived
23,2025,79.83,3830,Top 10000,high,exact
24,2024,57.42,22991,Top 50000,medium,derived
25,2023,69.41,8761,Top 10000,medium,derived
26,2022,55.22,36678,Top 50000,medium,derived
27,2025,45.54,92421,Above 50000,high,exact
28,2025,84.46,2549,Top 10000,high,exact
29,2023,85.83,2248,Top 10000,medium,derived
30,2024,142.8,86,Top 100,medium,derived
31,2024,147.87,34,Top 100,medium,derived
32,2021,51.16,51551,Above 50000,medium,derived
33,2024,101.71,1286,Top 10000,medium,derived
34,2023,98.53,884,Top 1000,medium,derived
35,2023,83.98,2135,Top 10000,medium,derived
36,2022,61.78,20761,Top 50000,medium,derived
37,2023,58.4,24828,Top 50000,medium,derived
38,2025,72.11,6640,Top 10000,high,exact
39,2024,107.76,1107,Top 10000,medium,derived
40,2024,122.68,540,Top 1000,medium,derived
41,2025,68.29,9696,Top 10000,high,exact
42,2025,45.74,95718,Above 50000,high,exact
43,2023,118.21,218,Top 1000,medium,derived
44,2025,41.13,140271,Above 50000,high,exact
45,2024,132.73,245,Top 1000,medium,derived
46,2023,107.67,440,Top 1000,medium,derived
47,2024,57.18,20715,Top 50000,medium,derived
48,2024,57.46,22656,Top 50000,medium,derived
49,2025,127.8,89,Top 100,high,exact
50,2023,92.31,1372,Top 10000,medium,derived
51,2022,40.53,142551,Above 50000,medium,derived
52,2021,63.99,14032,Top 50000,medium,derived
53,2022,128.56,120,Top 1000,medium,derived
54,2024,117.38,709,Top 1000,medium,derived
55,2023,153.63,8,Top 100,medium,derived
56,2022,122.45,170,Top 1000,medium,derived
57,2022,84.13,2018,Top 10000,medium,derived
58,2021,40.54,92102,Above 50000,medium,derived
59,2021,149.12,23,Top 100,medium,derived
60,2025,43.47,111623,Above 50000,high,exact
61,2022,137.23,63,Top 100,medium,derived
62,2024,44.67,121576,Above 50000,medium,derived
63,2021,157.63,3,Top 100,medium,derived
64,2025,72.94,6529,Top 10000,high,exact
65,2023,140.71,51,Top 100,medium,derived
66,2021,142.48,49,Top 100,medium,derived
67,2022,112.36,332,Top 1000,medium,derived
68,2023,47.06,76855,Above 50000,medium,derived
69,2021,94.11,1545,Top 10000,medium,derived
70,2024,107.48,1169,Top 10000,medium,derived
71,2022,117.46,255,Top 1000,medium,derived
72,2024,129.25,271,Top 1000,medium,derived
73,2024,117.31,594,Top 1000,medium,derived
74,2023,134.29,81,Top 100,medium,derived
75,2022,106.8,454,Top 1000,medium,derived
76,2025,42.43,132760,Above 50000,high,exact
77,2024,112.48,867,Top 1000,medium,derived
78,2022,77.85,3684,Top 10000,medium,derived
79,2023,124.3,162,Top 1000,medium,derived
80,2024,123.42,407,Top 1000,medium,derived
81,2025,59.39,21205,Top 50000,high,exact
82,2023,106.91,494,Top 1000,medium,derived
83,2024,151.84,11,Top 100,medium,derived
84,2025,44.53,105658,Above 50000,high,exact
85,2025,134.82,28,Top 100,high,exact
86,2021,62.28,15626,Top 50000,medium,derived
87,2021,101.1,806,Top 1000,medium,derived
88,2024,143.72,69,Top 100,medium,derived
89,2025,74.36,5990,Top 10000,high,exact
90,2025,103.72,685,Top 1000,high,exact
91,2025,139.81,13,Top 100,high,exact
92,2024,102.75,1385,Top 10000,medium,derived
93,2025,122.34,150,Top 1000,high,exact
94,2024,134.37,192,Top 1000,medium,derived
95,2025,135.99,19,Top 100,high,exact
96,2025,119.63,181,Top 1000,high,exact
97,2025,53.67,35388,Top 50000,high,exact
98,2025,123.46,128,Top 1000,high,exact
99,2025,109.53,396,Top 1000,high,exact
100,2025,136.64,15,Top 100,high,exact
101,2025,89.8,1743,Top 10000,high,exact
102,2023,52.28,44286,Top 50000,medium,derived
103,2024,109.49,1005,Top 10000,medium,derived
104,2024,132.61,235,Top 1000,medium,derived
105,2025,62.63,14379,Top 50000,high,exact
106,2025,70.75,7226,Top 10000,high,exact
107,2021,123.42,199,Top 1000,medium,derived
108,2025,155.61,1,Top 100,high,exact
109,2025,134.68,28,Top 100,high,exact
110,2023,114.89,261,Top 1000,medium,derived
111,2025,46.15,93682,Above 50000,high,exact
112,2025,47.58,73891,Above 50000,high,exact
113,2023,133.47,83,Top 100,medium,derived
114,2023,139.85,55,Top 100,medium,derived
115,2022,124.3,145,Top 1000,medium,derived
116,2024,130.7,287,Top 1000,medium,derived
117,2024,159.96,3,Top 100,medium,derived
118,2021,104.65,689,Top 1000,medium,derived
119,2023,66.9,8892,Top 10000,medium,derived
120,2024,157.48,5,Top 100,medium,derived
121,2025,61.62,15108,Top 50000,high,exact
122,2023,53.43,36738,Top 50000,medium,derived
123,2024,119.89,606,Top 1000,medium,derived
124,2023,113.84,313,Top 1000,medium,derived
125,2025,90.4,1660,Top 10000,high,exact
126,2025,83.47,2906,Top 10000,high,exact
127,2023,62.04,18134,Top 50000,medium,derived
128,2024,63.62,15737,Top 50000,medium,derived
129,2022,128.08,122,Top 1000,medium,derived
130,2025,42.07,141793,Above 50000,high,exact
131,2023,126.04,149,Top 1000,medium,derived
132,2025,130.74,63,Top 100,high,exact
133,2024,126.64,424,Top 1000,medium,derived
134,2023,133.9,72,Top 100,medium,derived
135,2023,136.22,67,Top 100,medium,derived
136,2024,118.53,622,Top 1000,medium,derived
137,2025,117.29,226,Top 1000,high,exact
138,2025,122.7,135,Top 1000,high,exact
139,2022,133.08,90,Top 100,medium,derived
140,2024,154.64,5,Top 100,medium,derived
141,2025,103.65,665,Top 1000,high,exact
142,2024,103.94,1306,Top 10000,medium,derived
143,2023,62.07,18657,Top 50000,medium,derived
144,2023,91.44,1344,Top 10000,medium,derived
145,2023,142.46,45,Top 100,medium,derived
146,2025,94.49,1302,Top 10000,high,exact
147,2025,115.7,261,Top 1000,high,exact
148,2021,147.97,27,Top 100,medium,derived
149,2024,136.79,169,Top 1000,medium,derived
150,2025,40.75,141296,Above 50000,high,exact
151,2021,112.43,403,Top 1000,medium,derived
152,2025,42.38,133160,Above 50000,high,exact
153,2021,118.04,285,Top 1000,medium,derived
154,2025,40.29,158288,Above 50000,high,exact
155,2021,143.05,48,Top 100,medium,derived
156,2025,40.42,163905,Above 50000,high,exact
157,2025,43.09,126679,Above 50000,high,exact
158,2025,120.59,166,Top 1000,high,exact
159,2024,126.21,367,Top 1000,medium,derived
160,2025,152.25,2,Top 100,high,exact
161,2024,160.98,1,Top 100,medium,derived
162,2024,113.71,810,Top 1000,medium,derived
163,2023,83.22,2669,Top 10000,medium,derived
164,2025,122.71,142,Top 1000,high,exact
165,2024,116.81,687,Top 1000,medium,derived
166,2022,139.03,52,Top 100,medium,derived
167,2023,108.87,412,Top 1000,medium,derived
168,2025,103.46,650,Top 1000,high,exact
169,2023,111.56,370,Top 1000,medium,derived
170,2023,107.27,471,Top 1000,medium,derived
171,2023,75.89,4876,Top 10000,medium,derived
172,2025,147.75,4,Top 100,medium,interpolated
173,2024,135.84,171,Top 1000,medium,derived
174,2025,100.88,751,Top 1000,high,exact
175,2025,45.18,97633,Above 50000,high,exact
176,2025,94.25,1288,Top 10000,high,exact
177,2024,102.63,1357,Top 10000,medium,derived
178,2025,50.48,50448,Above 50000,high,exact
179,2021,126.42,168,Top 1000,medium,derived
180,2024,126.4,368,Top 1000,medium,derived
181,2023,47.97,101123,Above 50000,medium,derived
182,2025,105.3,552,Top 1000,high,exact
183,2021,82.0,3097,Top 10000,medium,derived
184,2023,149.07,22,Top 100,medium,derived
185,2024,137.59,154,Top 1000,medium,derived
186,2024,103.86,1188,Top 10000,medium,derived
187,2023,117.35,223,Top 1000,medium,derived
188,2025,92.44,1430,Top 10000,high,exact
189,2024,159.95,1,Top 100,medium,derived
190,2024,118.64,632,Top 1000,medium,derived
191,2021,154.21,10,Top 100,medium,derived
192,2025,51.65,47368,Top 50000,high,exact
193,2025,65.54,10926,Top 50000,high,exact
194,2024,111.85,992,Top 1000,medium,derived
195,2024,157.61,6,Top 100,medium,derived
196,2022,139.61,50,Top 100,medium,derived
197,2025,117.8,228,Top 1000,high,exact
198,2025,95.93,1098,Top 10000,high,exact
199,2025,40.31,180250,Above 50000,high,exact
200,2024,119.7,555,Top 1000,medium,derived
201,2023,81.72,2740,Top 10000,medium,derived
202,2025,57.24,23776,Top 50000,high,exact
203,2025,83.42,2985,Top 10000,high,exact
204,2021,86.43,2917,Top 10000,medium,derived
205,2024,46.63,83454,Above 50000,medium,derived
206,2023,123.08,155,Top 1000,medium,derived
207,2021,52.8,46954,Top 50000,medium,derived
208,2025,124.83,113,Top 1000,high,exact
209,2025,140.19,12,Top 100,high,exact
210,2021,107.43,552,Top 1000,medium,derived
211,2022,58.44,28086,Top 50000,medium,derived
212,2024,148.23,26,Top 100,medium,derived
213,2022,51.1,60677,Above 50000,medium,derived
214,2024,132.81,250,Top 1000,medium,derived
215,2024,138.84,131,Top 1000,medium,derived
216,2025,94.24,1214,Top 10000,high,exact
217,2021,153.85,11,Top 100,medium,derived
218,2025,78.1,4147,Top 10000,high,exact
219,2022,114.3,262,Top 1000,medium,derived
220,2023,72.64,6903,Top 10000,medium,derived
221,2025,82.34,3172,Top 10000,high,exact
222,2024,128.43,290,Top 1000,medium,derived
223,2024,128.73,358,Top 1000,medium,derived
224,2024,142.45,79,Top 100,medium,derived
225,2023,153.36,9,Top 100,medium,derived
226,2023,158.87,1,Top 100,medium,derived
227,2025,56.77,25573,Top 50000,high,exact
228,2025,100.33,828,Top 1000,high,exact
229,2024,146.59,42,Top 100,medium,derived
230,2024,158.54,1,Top 100,medium,derived
231,2025,139.88,9,Top 100,high,exact
232,2023,51.48,47092,Top 50000,medium,derived
233,2022,63.41,16018,Top 50000,medium,derived
234,2024,102.64,1364,Top 10000,medium,derived
235,2021,157.86,2,Top 100,medium,derived
236,2025,78.46,3894,Top 10000,high,exact
237,2024,113.42,866,Top 1000,medium,derived
238,2024,160.9,5,Top 100,medium,derived
239,2025,85.68,2434,Top 10000,high,exact
240,2023,103.32,552,Top 1000,medium,derived
241,2023,55.35,27551,Top 50000,medium,derived
242,2025,94.78,1313,Top 10000,high,exact
243,2025,89.18,1910,Top 10000,high,exact
244,2022,132.0,102,Top 1000,medium,derived
245,2023,73.11,6102,Top 10000,medium,derived
246,2024,154.68,10,Top 100,medium,derived
247,2023,73.31,6974,Top 10000,medium,derived
248,2025,57.72,23620,Top 50000,high,exact
249,2025,140.91,12,Top 100,high,exact
250,2024,126.51,381,Top 1000,medium,derived
251,2024,110.44,1002,Top 10000,medium,derived
252,2021,154.6,7,Top 100,medium,derived
253,2021,134.42,94,Top 100,medium,derived
254,2025,41.19,140879,Above 50000,high,exact
255,2025,135.56,21,Top 100,high,exact
256,2023,42.15,146691,Above 50000,medium,derived
257,2024,41.03,139941,Above 50000,medium,derived
258,2022,102.87,601,Top 1000,medium,derived
259,2024,155.36,9,Top 100,medium,derived
260,2024,115.51,724,Top 1000,medium,derived
261,2023,138.72,53,Top 100,medium,derived
262,2024,146.48,40,Top 100,medium,derived
263,2021,102.26,751,Top 1000,medium,derived
264,2024,106.24,1221,Top 10000,medium,derived
265,2024,63.51,12745,Top 50000,medium,derived
266,2025,128.5,79,Top 100,high,exact
267,2022,85.77,1801,Top 10000,medium,derived
268,2022,67.96,11286,Top 50000,medium,derived
269,2025,132.63,46,Top 100,high,exact
270,2022,151.9,19,Top 100,medium,derived
271,2025,73.93,5827,Top 10000,high,exact
272,2022,124.33,151,Top 1000,medium,derived
273,2025,70.24,8399,Top 10000,high,exact
274,2022,113.14,340,Top 1000,medium,derived
275,2025,45.09,98753,Above 50000,high,exact
276,2023,80.51,3427,Top 10000,medium,derived
277,2021,55.35,38019,Top 50000,medium,derived
278,2021,86.37,2608,Top 10000,medium,derived
279,2024,41.66,150514,Above 50000,medium,derived
280,2021,132.11,119,Top 1000,medium,derived
281,2025,131.48,55,Top 100,high,exact
282,2025,40.05,173557,Above 50000,high,exact
283,2025,135.31,28,Top 100,high,exact
284,2025,42.62,126522,Above 50000,high,exact
285,2022,96.72,1000,Top 1000,medium,derived
286,2024,124.44,471,Top 1000,medium,derived
287,2024,118.39,671,Top 1000,medium,derived
288,2024,153.33,12,Top 100,medium,derived
289,2023,154.19,8,Top 100,medium,derived
290,2021,122.15,203,Top 1000,medium,derived
291,2025,79.6,3555,Top 10000,high,exact
292,2021,119.2,269,Top 1000,medium,derived
293,2024,72.64,6013,Top 10000,medium,derived
294,2024,63.39,14246,Top 50000,medium,derived
295,2023,149.84,16,Top 100,medium,derived
296,2024,108.75,1121,Top 10000,medium,derived
297,2025,97.08,1040,Top 10000,high,exact
298,2025,135.81,19,Top 100,high,exact
299,2024,120.5,538,Top 1000,medium,derived
300,2023,87.19,1676,Top 10000,medium,derived
301,2023,111.9,346,Top 1000,medium,derived
302,2024,138.13,124,Top 1000,medium,derived
303,2025,67.77,10058,Top 50000,high,exact
304,2025,98.1,995,Top 1000,high,exact
305,2023,122.14,181,Top 1000,medium,derived
306,2025,75.6,4992,Top 10000,high,exact
307,2025,114.47,275,Top 1000,high,exact
308,2021,127.55,140,Top 1000,medium,derived
309,2025,83.07,3182,Top 10000,high,exact
310,2022,113.38,288,Top 1000,medium,derived
311,2021,103.82,719,Top 1000,medium,derived
312,2023,107.6,435,Top 1000,medium,derived
313,2025,73.2,6426,Top 10000,high,exact
314,2022,147.64,24,Top 100,medium,derived
315,2021,109.44,537,Top 1000,medium,derived
316,2025,115.46,259,Top 1000,high,exact
317,2024,46.33,89884,Above 50000,medium,derived
318,2023,50.0,61844,Above 50000,medium,derived
319,2023,149.12,23,Top 100,medium,derived
320,2025,40.38,166352,Above 50000,high,exact
321,2023,72.87,6322,Top 10000,medium,derived
322,2025,64.35,12343,Top 50000,high,exact
323,2022,45.16,119867,Above 50000,medium,derived
324,2025,42.71,125218,Above 50000,high,exact
325,2022,52.75,51107,Above 50000,medium,derived
326,2021,97.0,1231,Top 10000,medium,derived
327,2024,129.66,327,Top 1000,medium,derived
328,2022,67.74,10332,Top 50000,medium,derived
329,2025,77.44,4389,Top 10000,high,exact
330,2025,79.53,3703,Top 10000,high,exact
331,2022,159.44,1,Top 100,medium,derived
332,2022,127.69,135,Top 1000,medium,derived
333,2024,44.51,124160,Above 50000,medium,derived
334,2025,45.5,96950,Above 50000,high,exact
335,2021,82.17,3328,Top 10000,medium,derived
336,2021,109.44,493,Top 1000,medium,derived
337,2024,157.31,6,Top 100,medium,derived
338,2024,72.15,7670,Top 10000,medium,derived
339,2025,99.18,852,Top 1000,high,exact
340,2022,129.83,112,Top 1000,medium,derived
341,2025,60.67,19556,Top 50000,high,exact
